name	tags
Bierkeller Tübingen	Nachtleben
Epplehaus	Nachtleben,Vortrag,Konzert
Schlachthaus	Nachtleben
Schwarzes Schaf	Nachtleben
Clubhaus	Party
CLUB 27 TÜBINGEN	Nachtleben
Kulturschock Zelle e.V.	Nachtleben,Vortrag
Kuckuck WHO	Nachtleben
Geissweg	Nachtleben,Vortrag
Club Voltaire	Vortrag,Konzert
Jazzclub Tübingen	Vortrag,Konzert
Sudhaus Tübingen	Nachtleben,Vortrag,Konzert
Kulturzentrum franz.K Reutlingen	Vortrag,Konzert,Bühne
TOP10 Tübingen	Nachtleben
LTT - Landestheater Württemberg-Hohenzollern Tübingen Reutlingen	Bühne
Frau Hopf im Schloßcafé	Vortrag,Konzert
Kino Arsenal & Kino Atelier	Film
Café Haag	Vortrag,Konzert,Film,Bühne
QFILM Tübingen	Film
Schelling	Nachtleben,Vortrag,Konzert
Lu15	Nachtleben,Vortrag,Konzert
Blauer Salon	Nachtleben,Vortrag,Konzert
LUDWIGs Tübingen	Nachtleben
Pausenhof	Nachtleben
Bricks Tübingen	
Friedrichs Bar & Clublounge	Nachtleben
Deutsch-Amerikanisches Institut Tübingen DAI	Vortrag
Gasthausbrauerei Neckarmüller	Nachtleben,Konzert
Jazzclub in der MITTE Reutlingen	Nachtleben
Ribingurūmu	Nachtleben,Bühne
Last Resort	Nachtleben
Lehmann Club	Nachtleben
Kowalski	Nachtleben
Discothek WOM	Nachtleben
Wagenhallen	Konzert
Sonnenkeller. Live Club. Balingen	Nachtleben
TOP10 Balingen	Nachtleben
KULTURINSEL Stuttgart (Original)	Nachtleben,Vortrag,Konzert
LKA Longhorn	Nachtleben
Jugendhaus INSEL	
Doppeldecker	Nachtleben
Stadthalle Balingen	Konzert,Vortrag
WARANGA Bar & Clublounge	Nachtleben
PURE Stuttgart	Nachtleben
Mehrgenerationenhaus Linde	
Kultur Openair	Konzert
club bastion e.V.	Nachtleben
Tropi Albstadt	Nachtleben
Filmriss	Film
Wunderbar Kirchheim	Nachtleben
Rote Sonne	Nachtleben
Zimmertheater Tübingen	Bühne
KUNSTHALLE TÜBINGEN	Bühne,Vortrag
Werkstadthaus	Bühne,Vortrag
Eberhard Karls Universität Tübingen	Vortrag
Unikino Tübingen	Kino
Willi Tübingen	Nachtleben,Konzert
Haus der Jugend	Konzert,Vortrag
Stadtpalais Stuttgart	Konzert,Vortrag
Rakete	Nachtleben
White Noise	Nachtleben
Theater Rampe	Bühne
Icecafeadria	Nachtleben
Korridor	Nachtleben
Café Klotz	Nachtleben
Cafe Galao	Nachtleben
Steinstraße 13, 70173 Stuttgart, Deutschland	Nachtleben
Café Arg	Nachtleben
Werkstatthaus	Vortrag
Mittwochsbühne	Bühne
Stadthalle Reutlingen	Vortrag
VHS Tübingen	Vortrag
Ratskeller Tübingen	Nachtleben,Konzert
Goldene Zeiten Tübingen	Nachtleben,Konzert
Deutsch-Französisches Kulturinstitut Tübingen	Vortrag
